antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'P0438'}),frozenset({'P0364'}),0.9065420560747663,0.8691588785046729,0.8037383177570093,0.8865979381443299,1.0200642944241214,1.0,0.015809240981745076,1.1537807986406114,0.21046511627906903,0.8269230769230769,0.133284241531664,0.9056645604700144
frozenset({'P0364'}),frozenset({'P0438'}),0.8691588785046729,0.9065420560747663,0.8037383177570093,0.9247311827956989,1.0200642944241214,1.0,0.015809240981745076,1.2416555407209606,0.15033222591362072,0.8269230769230769,0.19462365591397812,0.9056645604700144
frozenset({'P0438'}),frozenset({'P0103'}),0.9065420560747663,0.8504672897196262,0.794392523364486,0.8762886597938144,1.0303613911861336,1.0,0.023408157917722106,1.208722741433022,0.3152941176470592,0.8252427184466019,0.17268041237113407,0.9051772969298743
frozenset({'P0103'}),frozenset({'P0438'}),0.8504672897196262,0.9065420560747663,0.794392523364486,0.9340659340659341,1.0303613911861336,1.0,0.023408157917722106,1.417445482866044,0.19705882352941204,0.8252427184466019,0.29450549450549474,0.9051772969298743
frozenset({'P0103'}),frozenset({'P0364'}),0.8504672897196262,0.8691588785046729,0.7476635514018691,0.8791208791208791,1.0114616566229468,1.0,0.008472355664250197,1.0824129141886152,0.07578125000000038,0.7692307692307692,0.07613814756671898,0.86966796644216
frozenset({'P0364'}),frozenset({'P0103'}),0.8691588785046729,0.8504672897196262,0.7476635514018691,0.8602150537634409,1.011461656622947,1.0,0.008472355664250197,1.0697340043134438,0.08660714285714331,0.7692307692307692,0.06518817204301094,0.86966796644216
frozenset({'P0438'}),frozenset({'P0333'}),0.9065420560747663,0.8411214953271028,0.794392523364486,0.8762886597938144,1.0418098510882017,1.0,0.03188051358197219,1.2842679127725858,0.4294117647058819,0.8333333333333333,0.2213462704669497,0.9103665521191294
frozenset({'P0333'}),frozenset({'P0438'}),0.8411214953271028,0.9065420560747663,0.794392523364486,0.9444444444444444,1.0418098510882017,1.0,0.03188051358197219,1.6822429906542051,0.25259515570934227,0.8333333333333333,0.40555555555555534,0.9103665521191294
frozenset({'P0333'}),frozenset({'P0364'}),0.8411214953271028,0.8691588785046729,0.7383177570093458,0.8777777777777778,1.009916367980884,1.0,0.0072495414446676065,1.070518266779949,0.06180193596425869,0.7596153846153845,0.0658730158730159,0.8636200716845879
frozenset({'P0364'}),frozenset({'P0333'}),0.8691588785046729,0.8411214953271028,0.7383177570093458,0.8494623655913979,1.0099163679808842,1.0,0.0072495414446676065,1.0554072096128173,0.07504520795659984,0.7596153846153845,0.05249841872232789,0.8636200716845879
frozenset({'P0333'}),frozenset({'P0103'}),0.8411214953271028,0.8504672897196262,0.7289719626168224,0.8666666666666667,1.0190476190476192,1.0,0.013625644161062045,1.121495327102804,0.11764705882352892,0.7572815533980584,0.10833333333333363,0.861904761904762
frozenset({'P0103'}),frozenset({'P0333'}),0.8504672897196262,0.8411214953271028,0.7289719626168224,0.8571428571428571,1.019047619047619,1.0,0.013625644161062045,1.1121495327102802,0.12499999999999947,0.7572815533980584,0.10084033613445358,0.861904761904762
frozenset({'P0438'}),frozenset({'P0261'}),0.9065420560747663,0.8411214953271028,0.7850467289719626,0.865979381443299,1.0295532646048111,1.0,0.022534719189448826,1.185478073328541,0.30714285714285666,0.8155339805825241,0.1564584596725291,0.8996563573883162
frozenset({'P0261'}),frozenset({'P0438'}),0.8411214953271028,0.9065420560747663,0.7850467289719626,0.9333333333333333,1.0295532646048111,1.0,0.022534719189448826,1.401869158878505,0.18067226890756274,0.8155339805825241,0.2866666666666669,0.8996563573883162
frozenset({'P0261'}),frozenset({'P0364'}),0.8411214953271028,0.8691588785046729,0.7383177570093458,0.8777777777777778,1.009916367980884,1.0,0.0072495414446676065,1.070518266779949,0.06180193596425869,0.7596153846153845,0.0658730158730159,0.8636200716845879
frozenset({'P0364'}),frozenset({'P0261'}),0.8691588785046729,0.8411214953271028,0.7383177570093458,0.8494623655913979,1.0099163679808842,1.0,0.0072495414446676065,1.0554072096128173,0.07504520795659984,0.7596153846153845,0.05249841872232789,0.8636200716845879
frozenset({'P0261'}),frozenset({'P0103'}),0.8411214953271028,0.8504672897196262,0.7289719626168224,0.8666666666666667,1.0190476190476192,1.0,0.013625644161062045,1.121495327102804,0.11764705882352892,0.7572815533980584,0.10833333333333363,0.861904761904762
frozenset({'P0103'}),frozenset({'P0261'}),0.8504672897196262,0.8411214953271028,0.7289719626168224,0.8571428571428571,1.019047619047619,1.0,0.013625644161062045,1.1121495327102802,0.12499999999999947,0.7572815533980584,0.10084033613445358,0.861904761904762
frozenset({'P0261'}),frozenset({'P0333'}),0.8411214953271028,0.8411214953271028,0.719626168224299,0.8555555555555555,1.0171604938271606,1.0,0.012140798322997637,1.0999281092739035,0.10618792971734144,0.7475728155339806,0.09084967320261422,0.8555555555555555
frozenset({'P0333'}),frozenset({'P0261'}),0.8411214953271028,0.8411214953271028,0.719626168224299,0.8555555555555555,1.0171604938271606,1.0,0.012140798322997637,1.0999281092739035,0.10618792971734144,0.7475728155339806,0.09084967320261422,0.8555555555555555
frozenset({'P0438'}),frozenset({'P0569'}),0.9065420560747663,0.822429906542056,0.7476635514018691,0.8247422680412371,1.0028116213683225,1.0,0.002096252947855759,1.0131940626717975,0.030000000000000727,0.761904761904762,0.013022246337493082,0.866916588566073
frozenset({'P0569'}),frozenset({'P0438'}),0.822429906542056,0.9065420560747663,0.7476635514018691,0.9090909090909091,1.0028116213683225,1.0,0.002096252947855759,1.0280373831775698,0.015789473684210912,0.761904761904762,0.027272727272727056,0.866916588566073
frozenset({'P0261'}),frozenset({'P0569'}),0.8411214953271028,0.822429906542056,0.7383177570093458,0.8777777777777778,1.0672979797979798,1.0,0.04655428421696217,1.4528462192013594,0.3968726731198808,0.7979797979797979,0.3116959064327486,0.8877525252525252
frozenset({'P0569'}),frozenset({'P0261'}),0.822429906542056,0.8411214953271028,0.7383177570093458,0.8977272727272727,1.0672979797979798,1.0,0.04655428421696217,1.553478712357217,0.3550966022651565,0.7979797979797979,0.356283422459893,0.8877525252525252
frozenset({'P0333'}),frozenset({'P0569'}),0.8411214953271028,0.822429906542056,0.7102803738317757,0.8444444444444444,1.0267676767676768,1.0,0.018516901039392075,1.1415220293724968,0.16408668730650144,0.7450980392156863,0.12397660818713459,0.854040404040404
frozenset({'P0569'}),frozenset({'P0333'}),0.822429906542056,0.8411214953271028,0.7102803738317757,0.8636363636363636,1.0267676767676768,1.0,0.018516901039392075,1.165109034267913,0.14681440443213287,0.7450980392156863,0.14171122994652421,0.854040404040404
frozenset({'P0103'}),frozenset({'P0569'}),0.8504672897196262,0.822429906542056,0.7102803738317757,0.8351648351648352,1.0154845154845156,1.0,0.010830640230587774,1.0772585669781936,0.10197368421052583,0.7378640776699028,0.07171775592828251,0.8494005994005994
frozenset({'P0569'}),frozenset({'P0103'}),0.822429906542056,0.8504672897196262,0.7102803738317757,0.8636363636363636,1.0154845154845156,1.0,0.010830640230587774,1.0965732087227416,0.08587257617728491,0.7378640776699028,0.08806818181818199,0.8494005994005994
frozenset({'P0438'}),frozenset({'P0051'}),0.9065420560747663,0.8130841121495327,0.7476635514018691,0.8247422680412371,1.0143381917288778,1.0,0.010568608612105845,1.0665200659703131,0.15124999999999977,0.7692307692307692,0.062371134020618425,0.8721412489631473
frozenset({'P0051'}),frozenset({'P0438'}),0.8130841121495327,0.9065420560747663,0.7476635514018691,0.9195402298850575,1.0143381917288778,1.0,0.010568608612105845,1.1615487316421895,0.07562499999999989,0.7692307692307692,0.1390804597701149,0.8721412489631473
frozenset({'P0333'}),frozenset({'P0051'}),0.8411214953271028,0.8130841121495327,0.719626168224299,0.8555555555555555,1.0522349936143038,1.0,0.0357236439863744,1.2940330697340041,0.3124522536287246,0.77,0.22722222222222208,0.8703065134099617
frozenset({'P0051'}),frozenset({'P0333'}),0.8130841121495327,0.8411214953271028,0.719626168224299,0.8850574712643678,1.052234993614304,1.0,0.0357236439863744,1.3822429906542062,0.26558441558441587,0.77,0.2765382014874918,0.8703065134099617
frozenset({'P0051'}),frozenset({'P0364'}),0.8130841121495327,0.8691588785046729,0.719626168224299,0.8850574712643678,1.0182919293041652,1.0,0.012926893178443533,1.1383177570093461,0.0961038961038961,0.7475728155339806,0.12151067323481149,0.8565072302558399
frozenset({'P0364'}),frozenset({'P0051'}),0.8691588785046729,0.8130841121495327,0.719626168224299,0.8279569892473118,1.018291929304165,1.0,0.012926893178443533,1.0864485981308407,0.13729128014842298,0.7475728155339806,0.079569892473118,0.8565072302558399
frozenset({'P0261'}),frozenset({'P0051'}),0.8411214953271028,0.8130841121495327,0.7102803738317757,0.8444444444444444,1.0385696040868455,1.0,0.026377849593851033,1.2016021361815756,0.2337461300309601,0.7524752475247526,0.16777777777777786,0.8590038314176245
frozenset({'P0051'}),frozenset({'P0261'}),0.8130841121495327,0.8411214953271028,0.7102803738317757,0.8735632183908045,1.0385696040868455,1.0,0.026377849593851033,1.2565845369583681,0.1986842105263161,0.7524752475247526,0.20419202163624037,0.8590038314176245
frozenset({'P0103'}),frozenset({'P0051'}),0.8504672897196262,0.8130841121495327,0.7009345794392523,0.8241758241758241,1.01364153088291,1.0,0.009433138265350638,1.0630841121495325,0.08999999999999954,0.7281553398058253,0.05934065934065922,0.8431223948465327
frozenset({'P0051'}),frozenset({'P0103'}),0.8130841121495327,0.8504672897196262,0.7009345794392523,0.8620689655172413,1.01364153088291,1.0,0.009433138265350638,1.08411214953271,0.07199999999999963,0.7281553398058253,0.07758620689655146,0.8431223948465327
frozenset({'P0051'}),frozenset({'P0569'}),0.8130841121495327,0.822429906542056,0.6915887850467289,0.8505747126436781,1.034221525600836,1.0,0.022884094680758138,1.1883537023723938,0.17702702702702697,0.7326732673267325,0.1584996975196611,0.8457419017763845
frozenset({'P0569'}),frozenset({'P0051'}),0.822429906542056,0.8130841121495327,0.6915887850467289,0.8409090909090909,1.034221525600836,1.0,0.022884094680758138,1.1748998664886519,0.18634423897581787,0.7326732673267325,0.14886363636363661,0.8457419017763845
frozenset({'P0438'}),frozenset({'P0500'}),0.9065420560747663,0.7850467289719626,0.719626168224299,0.7938144329896907,1.011168384879725,1.0,0.00794829242728623,1.0425233644859813,0.11818181818181822,0.7403846153846154,0.040788883908561085,0.8552405498281787
frozenset({'P0500'}),frozenset({'P0438'}),0.7850467289719626,0.9065420560747663,0.719626168224299,0.9166666666666666,1.011168384879725,1.0,0.00794829242728623,1.1214953271028034,0.051383399209486195,0.7403846153846154,0.10833333333333303,0.8552405498281787
frozenset({'P0261'}),frozenset({'P0500'}),0.8411214953271028,0.7850467289719626,0.6822429906542056,0.8111111111111111,1.0332010582010582,1.0,0.021923312079657586,1.137987905442551,0.20225624496373867,0.7227722772277227,0.12125603864734312,0.8400793650793651
frozenset({'P0500'}),frozenset({'P0261'}),0.7850467289719626,0.8411214953271028,0.6822429906542056,0.8690476190476191,1.0332010582010582,1.0,0.021923312079657586,1.2132540356839425,0.14949374627754597,0.7227722772277227,0.17577030812324954,0.8400793650793651
frozenset({'P0500'}),frozenset({'P0051'}),0.7850467289719626,0.8130841121495327,0.6728971962616822,0.8571428571428571,1.0541871921182266,1.0,0.03458817363961919,1.3084112149532707,0.23913043478260876,0.7272727272727272,0.23571428571428554,0.8423645320197044
frozenset({'P0051'}),frozenset({'P0500'}),0.8130841121495327,0.7850467289719626,0.6728971962616822,0.8275862068965517,1.0541871921182266,1.0,0.03458817363961919,1.246728971962617,0.2750000000000001,0.7272727272727272,0.1979010494752624,0.8423645320197044
frozenset({'P0500'}),frozenset({'P0103'}),0.7850467289719626,0.8504672897196262,0.6728971962616822,0.8571428571428571,1.0078492935635792,1.0,0.005240632369639231,1.0467289719626165,0.036231884057970745,0.6990291262135921,0.04464285714285693,0.8241758241758241
frozenset({'P0103'}),frozenset({'P0500'}),0.8504672897196262,0.7850467289719626,0.6728971962616822,0.7912087912087912,1.0078492935635792,1.0,0.005240632369639231,1.029513034923758,0.05208333333333294,0.6990291262135921,0.02866698518872426,0.8241758241758241
frozenset({'P0438'}),frozenset({'P0664'}),0.9065420560747663,0.7663551401869159,0.719626168224299,0.7938144329896907,1.035831028413377,1.0,0.024893003755786514,1.1331775700934579,0.3701298701298698,0.7549019607843136,0.11752577319587619,0.8664194116167965
frozenset({'P0664'}),frozenset({'P0438'}),0.7663551401869159,0.9065420560747663,0.719626168224299,0.9390243902439024,1.035831028413377,1.0,0.024893003755786514,1.5327102803738306,0.14805194805194793,0.7549019607843136,0.3475609756097556,0.8664194116167965
frozenset({'P0664'}),frozenset({'P0333'}),0.7663551401869159,0.8411214953271028,0.7009345794392523,0.9146341463414634,1.0873983739837398,1.0,0.05633679797362212,1.8611481975967967,0.3439999999999998,0.7731958762886597,0.46269727403156413,0.8739837398373984
frozenset({'P0333'}),frozenset({'P0664'}),0.8411214953271028,0.7663551401869159,0.7009345794392523,0.8333333333333333,1.0873983739837398,1.0,0.05633679797362212,1.4018691588785042,0.5058823529411762,0.7731958762886597,0.2866666666666664,0.8739837398373984
frozenset({'P0664'}),frozenset({'P0364'}),0.7663551401869159,0.8691588785046729,0.6822429906542056,0.8902439024390244,1.0242591135588777,1.0,0.016158616473054388,1.1921079958463139,0.10136986301369846,0.7156862745098038,0.16114982578397233,0.8375950694990821
frozenset({'P0364'}),frozenset({'P0664'}),0.8691588785046729,0.7663551401869159,0.6822429906542056,0.7849462365591398,1.0242591135588774,1.0,0.016158616473054388,1.0864485981308412,0.18101761252446152,0.7156862745098038,0.07956989247311824,0.8375950694990821
frozenset({'P0664'}),frozenset({'P0261'}),0.7663551401869159,0.8411214953271028,0.6728971962616822,0.8780487804878049,1.0439024390243903,1.0,0.028299414796052025,1.302803738317757,0.1799999999999998,0.72,0.23242467718794846,0.8390243902439024
frozenset({'P0261'}),frozenset({'P0664'}),0.8411214953271028,0.7663551401869159,0.6728971962616822,0.7999999999999999,1.0439024390243903,1.0,0.028299414796052025,1.1682242990654204,0.26470588235294085,0.72,0.14399999999999982,0.8390243902439024
frozenset({'P0664'}),frozenset({'P0051'}),0.7663551401869159,0.8130841121495327,0.6635514018691588,0.8658536585365854,1.0649004765909729,1.0,0.04044021311904966,1.393372982158029,0.26084507042253496,0.7244897959183674,0.28231707317073174,0.840972806279787
frozenset({'P0051'}),frozenset({'P0664'}),0.8130841121495327,0.7663551401869159,0.6635514018691588,0.8160919540229885,1.0649004765909729,1.0,0.04044021311904966,1.270443925233645,0.3260563380281687,0.7244897959183674,0.2128735632183909,0.840972806279787
frozenset({'P0664'}),frozenset({'P0569'}),0.7663551401869159,0.822429906542056,0.6635514018691588,0.8658536585365854,1.0527993348115299,1.0,0.03327801554720933,1.3237043330501275,0.21464788732394344,0.7171717171717171,0.24454428754813867,0.8363359201773836
frozenset({'P0569'}),frozenset({'P0664'}),0.822429906542056,0.7663551401869159,0.6635514018691588,0.8068181818181818,1.0527993348115299,1.0,0.03327801554720933,1.2094557449147882,0.28243143068939924,0.7171717171717171,0.17318181818181805,0.8363359201773836
frozenset({'P0664'}),frozenset({'P0500'}),0.7663551401869159,0.7850467289719626,0.6261682242990654,0.8170731707317073,1.0407955865272938,1.0,0.024543628264477202,1.1750778816199374,0.16776119402985043,0.6767676767676767,0.14899257688229042,0.8073461091753774
frozenset({'P0500'}),frozenset({'P0664'}),0.7850467289719626,0.7663551401869159,0.6261682242990654,0.7976190476190476,1.0407955865272938,1.0,0.024543628264477202,1.1544804837822977,0.1823491239454896,0.6767676767676767,0.13380952380952366,0.8073461091753774
frozenset({'P0438'}),frozenset({'P0499'}),0.9065420560747663,0.7570093457943925,0.719626168224299,0.7938144329896907,1.0486190658011965,1.0,0.03336535942003671,1.1785046728971962,0.49610389610389644,0.7623762376237624,0.15146708961141941,0.872215858470154
frozenset({'P0499'}),frozenset({'P0438'}),0.7570093457943925,0.9065420560747663,0.719626168224299,0.9506172839506173,1.0486190658011965,1.0,0.03336535942003671,1.8925233644859816,0.19080919080919095,0.7623762376237624,0.47160493827160505,0.872215858470154
frozenset({'P0499'}),frozenset({'P0333'}),0.7570093457943925,0.8411214953271028,0.7009345794392523,0.9259259259259259,1.1008230452674896,1.0,0.06419774652808108,2.1448598130841123,0.376923076923077,0.7812499999999999,0.533769063180828,0.8796296296296295
frozenset({'P0333'}),frozenset({'P0499'}),0.8411214953271028,0.7570093457943925,0.7009345794392523,0.8333333333333333,1.1008230452674896,1.0,0.06419774652808108,1.4579439252336444,0.5764705882352943,0.7812499999999999,0.3141025641025639,0.8796296296296295
frozenset({'P0499'}),frozenset({'P0051'}),0.7570093457943925,0.8130841121495327,0.6822429906542056,0.9012345679012346,1.1084149283383,1.0,0.06673071884007342,1.8925233644859816,0.4025289778714439,0.7684210526315789,0.47160493827160505,0.8701575138356747
frozenset({'P0051'}),frozenset({'P0499'}),0.8130841121495327,0.7570093457943925,0.6822429906542056,0.8390804597701149,1.1084149283383,1.0,0.06673071884007342,1.5100133511348464,0.5232876712328771,0.7684210526315789,0.3377541998231653,0.8701575138356747
frozenset({'P0499'}),frozenset({'P0364'}),0.7570093457943925,0.8691588785046729,0.6822429906542056,0.9012345679012346,1.0369042878003452,1.0,0.024281596645995274,1.3247663551401871,0.14646996838777654,0.7227722772277227,0.2451499118165786,0.8430904022301872
frozenset({'P0364'}),frozenset({'P0499'}),0.8691588785046729,0.7570093457943925,0.6822429906542056,0.7849462365591398,1.0369042878003452,1.0,0.024281596645995274,1.1299065420560748,0.2720156555772993,0.7227722772277227,0.1149710504549214,0.8430904022301872
frozenset({'P0261'}),frozenset({'P0499'}),0.8411214953271028,0.7570093457943925,0.6635514018691588,0.7888888888888889,1.0421124828532236,1.0,0.026814568957987617,1.1510083620265616,0.25434962717481374,0.7099999999999999,0.13119658119658117,0.832716049382716
frozenset({'P0499'}),frozenset({'P0261'}),0.7570093457943925,0.8411214953271028,0.6635514018691588,0.8765432098765432,1.0421124828532236,1.0,0.026814568957987617,1.2869158878504674,0.16630552546045516,0.7099999999999999,0.22294843863471328,0.832716049382716
frozenset({'P0499'}),frozenset({'P0103'}),0.7570093457943925,0.8504672897196262,0.6542056074766355,0.8641975308641975,1.0161443494776827,1.0,0.01039392086645119,1.1011045029736617,0.06538461538461521,0.6862745098039216,0.09182098765432077,0.8167141500474833
frozenset({'P0103'}),frozenset({'P0499'}),0.8504672897196262,0.7570093457943925,0.6542056074766355,0.7692307692307692,1.0161443494776827,1.0,0.01039392086645119,1.0529595015576323,0.1062499999999997,0.6862745098039216,0.05029585798816551,0.8167141500474833
frozenset({'P0499'}),frozenset({'P0569'}),0.7570093457943925,0.822429906542056,0.6448598130841121,0.8518518518518519,1.035774410774411,1.0,0.022272687570966898,1.1985981308411218,0.14214046822742474,0.6900000000000001,0.16569200779727108,0.8179713804713804
frozenset({'P0569'}),frozenset({'P0499'}),0.822429906542056,0.7570093457943925,0.6448598130841121,0.7840909090909091,1.0357744107744107,1.0,0.022272687570966898,1.1254303984259715,0.1945080091533181,0.6900000000000001,0.11145104895104893,0.8179713804713804
frozenset({'P0664'}),frozenset({'P0499'}),0.7663551401869159,0.7570093457943925,0.6074766355140186,0.7926829268292682,1.0471243601324902,1.0,0.027338632194951473,1.1720725673446946,0.19261538461538424,0.6632653061224488,0.1468105065666039,0.7975760313158686
frozenset({'P0499'}),frozenset({'P0664'}),0.7570093457943925,0.7663551401869159,0.6074766355140186,0.8024691358024691,1.0471243601324902,1.0,0.027338632194951473,1.1828271028037385,0.18520710059171563,0.6632653061224488,0.15456790123456804,0.7975760313158686
frozenset({'P0499'}),frozenset({'P0500'}),0.7570093457943925,0.7850467289719626,0.5981308411214953,0.7901234567901234,1.006466784244562,1.0,0.0038431304044020953,1.0241891148982956,0.026442307692307446,0.6336633663366337,0.0236178207192699,0.7760141093474426
frozenset({'P0500'}),frozenset({'P0499'}),0.7850467289719626,0.7570093457943925,0.5981308411214953,0.7619047619047619,1.006466784244562,1.0,0.0038431304044020953,1.0205607476635514,0.029891304347825807,0.6336633663366337,0.020146520146520082,0.7760141093474426
frozenset({'P0438'}),frozenset({'P0590'}),0.9065420560747663,0.7476635514018691,0.6915887850467289,0.7628865979381443,1.020360824742268,1.0,0.0138003319067167,1.064201544087769,0.21351351351351283,0.7184466019417476,0.06032836960672004,0.843943298969072
frozenset({'P0590'}),frozenset({'P0438'}),0.7476635514018691,0.9065420560747663,0.6915887850467289,0.9249999999999999,1.020360824742268,1.0,0.0138003319067167,1.2461059190031143,0.07907907907907882,0.7184466019417476,0.19749999999999937,0.843943298969072
frozenset({'P0051'}),frozenset({'P0590'}),0.8130841121495327,0.7476635514018691,0.6635514018691588,0.8160919540229885,1.0915229885057471,1.0,0.05563804699100361,1.3720794392523366,0.4485915492957749,0.7395833333333333,0.2711792252022138,0.8517959770114942
frozenset({'P0590'}),frozenset({'P0051'}),0.7476635514018691,0.8130841121495327,0.6635514018691588,0.8875,1.0915229885057471,1.0,0.05563804699100361,1.66147455867082,0.33229003651538874,0.7395833333333333,0.39812499999999984,0.8517959770114942
frozenset({'P0590'}),frozenset({'P0364'}),0.7476635514018691,0.8691588785046729,0.6635514018691588,0.8875,1.0211021505376343,1.0,0.013712988033889428,1.163032191069574,0.08189880020865939,0.6960784313725491,0.14017857142857118,0.8254704301075269
frozenset({'P0364'}),frozenset({'P0590'}),0.8691588785046729,0.7476635514018691,0.6635514018691588,0.7634408602150538,1.0211021505376345,1.0,0.013712988033889428,1.066694987255735,0.15794768611670024,0.6960784313725491,0.06252489048187979,0.8254704301075269
frozenset({'P0261'}),frozenset({'P0590'}),0.8411214953271028,0.7476635514018691,0.6542056074766355,0.7777777777777778,1.0402777777777779,1.0,0.025329723119923098,1.135514018691589,0.24369747899159624,0.7,0.11934156378600838,0.8263888888888888
frozenset({'P0590'}),frozenset({'P0261'}),0.7476635514018691,0.8411214953271028,0.6542056074766355,0.875,1.0402777777777779,1.0,0.025329723119923098,1.2710280373831777,0.1534391534391532,0.7,0.21323529411764713,0.8263888888888888
frozenset({'P0103'}),frozenset({'P0590'}),0.8504672897196262,0.7476635514018691,0.6448598130841121,0.7582417582417582,1.0141483516483516,1.0,0.008996418901214054,1.0437553101104502,0.09329710144927508,0.676470588235294,0.04192104192104191,0.810370879120879
frozenset({'P0590'}),frozenset({'P0103'}),0.7476635514018691,0.8504672897196262,0.6448598130841121,0.8624999999999999,1.0141483516483516,1.0,0.008996418901214054,1.0875106202209002,0.05528717122920005,0.676470588235294,0.08046874999999966,0.810370879120879
frozenset({'P0333'}),frozenset({'P0590'}),0.8411214953271028,0.7476635514018691,0.6355140186915887,0.7555555555555555,1.0105555555555557,1.0,0.006638134334876367,1.032285471537808,0.06574394463667778,0.6666666666666666,0.03127572016460908,0.8027777777777778
frozenset({'P0590'}),frozenset({'P0333'}),0.7476635514018691,0.8411214953271028,0.6355140186915887,0.85,1.0105555555555557,1.0,0.006638134334876367,1.0591900311526479,0.0413943355119823,0.6666666666666666,0.05588235294117644,0.8027777777777778
frozenset({'P0500'}),frozenset({'P0590'}),0.7850467289719626,0.7476635514018691,0.6074766355140186,0.7738095238095237,1.034970238095238,1.0,0.02052581011442045,1.1155927201180518,0.15719063545150486,0.6565656565656566,0.10361552028218671,0.7931547619047619
